City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
187,Coihaique,CL,2022-04-16 23:50:43,-45.5752,-72.0662,52.41,81,0,0.0
188,Tairua,NZ,2022-04-16 23:54:22,-37.0167,175.85,66.24,70,100,15.86
189,Cachoeiras De Macacu,BR,2022-04-16 23:54:22,-22.4625,-42.6531,64.0,95,27,2.08
190,Kieta,PG,2022-04-16 23:54:23,-6.2167,155.6333,83.88,72,99,3.98
191,Cherskiy,RU,2022-04-16 23:47:09,68.75,161.3,21.24,90,100,11.65
192,Selikhino,RU,2022-04-16 23:54:23,50.3672,137.4996,34.25,92,100,5.06
193,Sitka,US,2022-04-16 23:48:37,57.0531,-135.33,44.49,53,40,8.05
194,Arraial Do Cabo,BR,2022-04-16 23:46:43,-22.9661,-42.0278,73.26,78,0,11.5
195,Thompson,CA,2022-04-16 23:54:24,55.7435,-97.8558,26.76,36,75,6.91
196,Parnamirim,BR,2022-04-16 23:54:24,-5.9156,-35.2628,82.74,83,20,6.91
197,Grand Gaube,MU,2022-04-16 23:54:24,-20.0064,57.6608,77.4,84,30,8.01
198,Ekhabi,RU,2022-04-16 23:54:24,53.5102,142.9671,30.65,80,100,10.98
199,Nome,US,2022-04-16 23:53:29,64.5011,-165.4064,34.16,77,100,14.29
200,Bonthe,SL,2022-04-16 23:54:25,7.5264,-12.505,78.26,80,89,3.51
201,West Fargo,US,2022-04-16 23:50:49,46.875,-96.9004,32.02,50,0,12.66
202,Katherine,AU,2022-04-16 23:54:25,-14.4667,132.2667,82.72,57,81,5.75
203,Estevan,CA,2022-04-16 23:54:26,49.1334,-102.9842,25.14,63,0,10.36
204,Beringovskiy,RU,2022-04-16 23:54:26,63.05,179.3167,31.64,98,100,19.22
205,Stolin,BY,2022-04-16 23:54:26,51.8912,26.846,36.36,85,81,12.12
206,Yola,NG,2022-04-16 23:54:27,9.2,12.4833,90.54,43,16,4.99
